#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  24200      1.77e+00    1.68e+00      9.34e-03    4.58e-03      6.20e-02    5.89e-02    8.1e-04
  24300      1.71e+00    1.94e+00      8.61e-03    9.30e-03      6.00e-02    6.81e-02    8.1e-04
  24400      1.64e+00    1.57e+00      2.42e-02    1.55e-02      5.74e-02    5.49e-02    8.1e-04
  24500      1.84e+00    1.52e+00      4.15e-02    4.87e-02      6.40e-02    5.26e-02    8.1e-04
  24600      1.92e+00    1.73e+00      6.04e-02    6.46e-02      6.66e-02    5.99e-02    8.1e-04
  24700      1.63e+00    1.48e+00      2.31e-02    3.65e-02      5.71e-02    5.15e-02    8.1e-04
  24800      1.71e+00    1.83e+00      7.78e-02    6.39e-02      5.85e-02    6.35e-02    8.1e-04
  24900      1.76e+00    1.70e+00      2.07e-02    1.08e-02      6.15e-02    5.96e-02    8.1e-04
  25000      1.72e+00    1.63e+00      8.20e-03    1.41e-02      6.19e-02    5.84e-02    7.7e-04
  25100      1.61e+00    1.41e+00      1.55e-02    2.02e-02      5.79e-02    5.04e-02    7.7e-04
  25200      1.63e+00    1.42e+00      6.57e-03    3.73e-03      5.85e-02    5.12e-02    7.7e-04
  25300      1.76e+00    1.90e+00      1.39e-02    3.82e-03      6.31e-02    6.81e-02    7.7e-04
  25400      1.59e+00    1.54e+00      2.23e-02    1.60e-02      5.72e-02    5.54e-02    7.7e-04
  25500      2.12e+00    2.06e+00      1.49e-02    3.07e-02      7.61e-02    7.38e-02    7.7e-04
  25600      1.56e+00    1.43e+00      2.94e-02    2.23e-02      5.58e-02    5.12e-02    7.7e-04
  25700      1.77e+00    1.72e+00      5.06e-02    5.05e-02      6.32e-02    6.12e-02    7.7e-04
